col1	col2	col3
row208	0	0	0
row209	0	0	0
row210	0	0	0
row211	0	0	0
row212	0	0	0
row213	0	0	0
row214	0	0	0
row215	0	0	0
row216	0	0	0
row217	0	0	0
row218	0	0	0
row219	0	0	0
row220	0	0	0
row221	0	0	0
row222	0	0	0
row223	0	0	0
row224	0	0	0
row225	0	0	0
row226	0	0	0
row227	0	0	0
row228	0	0	0
row229	0	0	0
row230	0	0	0
row231	0	0	0
row232	0	0	0
row233	0	0	0
row234	0	0	0
row235	0	0	0
row236	0	0	0
row237	0	0	0
row238	0	0	0
row239	0	0	0
row240	0	0	0
row241	0	0	0
row242	0	0	0
row243	0	0	0
row244	0	0	0
row245	0	0	0
row246	0	0	0
row247	0	0	0
row248	0	0	0
row249	0	0	0
row250	0	0	0
row251	0	0	0
row252	0	0	0
row253	0	0	0
row254	0	0	0
row255	0	0	0
row256	0	0	0
row257	0	0	0
row258	0	0	0
row259	0	0	0
row260	0	0	0
row261	0	0	0
row262	0	0	0
row263	0	0	0
row264	0	0	0
row265	0	0	0
row266	0	0	0
row267	0	0	0
row268	0	0	0
row269	0	0	0
row270	0	0	0
row271	0	0	0
row272	0	0	0
row273	0	0	0
row274	0	0	0
row275	0	0	0
row276	0	0	0
row277	0	0	0
row278	0	0	0
row279	0	0	0
row280	0	0	0
row281	0	0	0
row282	0	0	0
row283	0	0	0
row284	0	0	0
row285	0	0	0
row286	0	0	0
row287	0	0	0
row288	0	0	0
row289	0	0	0
row290	0	0	0
row291	0	0	0
row292	0	0	0
row293	0	0	0
row294	0	0	0
row295	0	0	0
row296	0	0	0
row297	0	0	0
row298	0	0	0
row299	0	0	0
row300	0	0	0
row301	0	0	0
row302	0	0	0
row303	0	0	0
row304	0	0	0
row305	0	0	0
row306	0	0	0
row307	0	0	0
row308	0	0	0
row309	0	0	0
row310	0	0	0
row311	0	0	0
row312	0	0	0
row313	0	0	0
row314	0	0	0
row315	0	0	0
row316	0	0	0
row317	0	0	0
row318	0	0	0
row319	0	0	0
row320	0	0	0
row321	0	0	0
row322	0	0	0
row323	0	0	0
row324	0	0	0
row325	0	0	0
row326	0	0	0
row327	0	0	0
row328	0	0	0
row329	0	0	0
row330	0	0	0
row331	0	0	0
row332	0	0	0
row333	0	0	0
row334	0	0	0
row335	0	0	0
row336	0	0	0
row337	0	0	0
row338	0	0	0
row339	0	0	0
row340	0	0	0
row341	0	0	0
row342	0	0	0
row343	0	0	0
row344	0	0	0
row345	0	0	0
row346	0	0	0
row347	0	0	0
row348	0	0	0
row349	0	0	0
row350	0	0	0
row351	0	0	0
row352	0	0	0
row353	0	0	0
row354	0	0	0
row355	0	0	0
row356	0	0	0
row357	0	0	0
row358	0	0	0
row359	0	0	0
row360	0	0	0
row361	0	0	0
row362	0	0	0
row363	0	0	0
row364	0	0	0
row365	0	0	0
row366	0	0	0
row367	0	0	0
row368	0	0	0
row369	0	0	0
row370	0	0	0
row371	0	0	0
row372	0	0	0
row373	0	0	0
row374	0	0	0
row375	0	0	0
row376	0	0	0
row377	0	0	0
row378	0	0	0
row379	0	0	0
row380	0	0	0
row381	0	0	0
row382	0	0	0
row383	0	0	0
row384	0	0	0
row385	0	0	0
row386	0	0	0
row387	0	0	0
row388	0	0	0
row389	0	0	0
row390	0	0	0
row391	0	0	0
row392	0	0	0
row393	0	0	0
row394	0	0	0
row395	0	0	0
row396	0	0	0
row397	0	0	0
row398	0	0	0
row399	0	0	0
row400	0	0	0
row401	0	0	0
row402	0	0	0
row403	0	0	0
row404	0	0	0
row405	0	0	0
row406	0	0	0
row407	0	0	0
row408	0	0	0
row409	0	0	0
row410	0	0	0
row411	0	0	0
row412	0	0	0
row413	0	0	0
row414	0	0	0
row415	0	0	0
row416	0	0	0
row417	0	0	0
row418	0	0	0
row419	0	0	0
row420	0	0	0
row421	0	0	0
row422	0	0	0
row423	0	0	0
row424	0	0	0
row425	0	0	0
row426	0	0	0
row427	0	0	0
row428	0	0	0
row429	0	0	0
row430	0	0	0
row431	0	0	0
row432	0	0	0
row433	0	0	0
row434	0	0	0
row435	0	0	0
row436	0	0	0
row437	0	0	0
row438	0	0	0
row439	0	0	0
row440	0	0	0
row441	0	0	0
row442	0	0	0
row443	0	0	0
row444	0	0	0
row445	0	0	0
row446	0	0	0
row447	0	0	0
row448	0	0	0
row449	0	0	0
row450	0	0	0
row451	0	0	0
row452	0	0	0
row453	0	0	0
row454	0	0	0
row455	0	0	0
row456	0	0	0
row457	0	0	0
row458	0	0	0
row459	0	0	0
row460	0	0	0
row461	0	0	0
row462	0	0	0
row463	0	0	0
row464	0	0	0
row465	0	0	0
row466	0	0	0
row467	0	0	0
row468	0	0	0
row469	0	0	0
row470	0	0	0
row471	0	0	0
row472	0	0	0
row473	0	0	0
row474	0	0	0
row475	0	0	0
row476	0	0	0
row477	0	0	0
row478	0	0	0
row479	0	0	0
row480	0	0	0
row481	0	0	0
row482	0	0	0
row483	0	0	0
row484	0	0	0
row485	0	0	0
row486	0	0	0
row487	0	0	0
row488	0	0	0
row489	0	0	0
row490	0	0	0
row491	0	0	0
row492	0	0	0
row493	0	0	0
row494	0	0	0
row495	0	0	0
row496	0	0	0
row497	0	0	0
row498	0	0	0
row499	0	0	0
row500	0	0	0
